@relation ceratocystis5
% ceratocystis_test_90_10_rgb_11_fs9_res5

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {1,2,3}

@data
131.57,43.2856,13,130.435556,4.378085,241,273,585,1
129.78,7.7451,11,130.961235,4.851751,268,400,756,1
128.56,116.7651,8,123.167284,12.599235,290,302,506,1
131.08,6.3976,5,131.064691,8.621877,234,393,728,1
128.43,67.8564,12,122.675926,20.05177,248,292,481,1
132.16,3.5139,9,130.890988,5.075119,225,294,646,1
131.01,43.8899,3,127.46642,7.006171,250,497,941,1
131.32,17.8616,12,132.14,2.282684,200,350,873,1
129.99,40.9491,14,126.066173,20.914584,269,298,463,1
130.08,16.4824,3,126.499877,12.564693,219,273,498,1
132.35,9.3475,20,130.064568,5.127758,238,261,533,1
133.19,9.3276,20,131.07284,5.787753,230,285,668,1
131.09,38.4816,11,131.566049,5.427778,211,367,807,1
131.58,31.8611,17,131.406296,4.389346,265,384,758,1
131.23,48.1096,23,130.667778,7.619717,229,317,543,1
131.82,39.1384,7,128.980247,9.787907,246,288,655,1
132.34,27.9275,13,131.674074,2.758861,194,347,851,1
131.18,52.0859,1,130.064568,3.17693,269,417,835,1
131.63,9.4219,9,130.42963,6.531715,226,296,663,1
130.25,5.1496,16,130.755556,5.853355,207,442,919,1
131.08,25.5304,13,131.246173,5.262306,271,388,722,1
130.61,25.5675,8,127.373704,16.027531,269,295,561,1
131.13,25.3416,3,129.964321,7.458176,243,463,846,1
131.23,27.6324,6,129.313457,9.161698,255,420,762,1
131.6,1.1744,8,130.277901,5.622236,225,427,862,1
132.07,6.3099,2,131.57642,4.461541,212,323,805,1
128.74,22.4075,11,127.640741,4.263571,281,268,469,1
129.65,106.1099,0,126.096173,23.802722,244,336,576,1
133.12,25.5475,13,130.180864,11.584845,260,310,687,1
132.15,25.5299,0,131.134198,4.771109,270,320,582,1
131.41,16.2,15,131.718025,8.799852,220,411,874,1
130.64,6.7771,5,126.111728,15.105455,261,303,524,1
