@relation 'ceratocystis_test_90_10_rgb_11-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.Resample-B1.0-S1-Z2.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {0,1,2}

@data
127.97,37.0616,8,124.298889,19.942285,265,318,504,0
131.73,35.7096,6,127.405432,8.134748,251,508,893,0
131.21,5.7139,3,131.456914,2.047222,203,330,772,0
130.83,55.0411,2,130.720617,3.791722,196,314,700,0
131.27,6.4099,6,126.294568,9.28881,253,304,524,0
134.4,20.1979,2,132.356296,4.121992,216,290,628,0
130.66,63.9716,1,127.118519,6.782095,266,524,970,0
132.36,15.4171,12,129.699877,7.512714,236,277,549,0
128.88,32.36,13,123.839877,17.287518,237,319,547,0
131.1,6.1444,5,131.159753,4.789901,247,249,636,0
131.82,2.6496,14,131.09321,5.749351,212,411,858,0
131.14,16.88,24,130.296543,12.244811,233,325,634,0
132.61,41.3284,3,131.233704,2.968251,225,431,887,0
131.1,59.8675,11,127.844198,20.162872,255,288,487,0
132.07,14.3256,17,132.41679,2.868964,216,400,865,0
132.02,9.8179,2,128.52358,5.146776,249,506,1011,0
131.56,28.9056,14,131.056667,8.241744,210,412,826,0
132.41,6.0971,8,131.781728,3.533643,233,286,715,0
131.11,18.8316,3,128.406296,8.379276,255,492,885,0
132.17,23.06,5,131.357407,8.912814,233,322,659,0
130.93,7.8875,0,130.399012,8.80796,241,441,939,0
130.56,18.5416,7,128.521975,13.560977,264,247,478,0
131.97,19.9379,19,131.956049,3.490821,203,353,886,0
132.68,41.2299,24,129.575309,20.371389,251,275,507,0
134.54,13.8931,3,132.332469,4.317438,203,307,747,0
132.54,45.6884,8,129.543704,6.788872,230,284,633,0
131.75,79.3076,3,129.289259,3.648973,267,425,828,0
132.35,2.8256,8,131.283086,4.519424,232,302,722,0
131.26,3.1816,12,131.828272,3.963202,217,283,691,0
131.63,22.4296,6,127.708765,9.908641,259,447,760,0
131.52,48.3676,5,129.348519,5.131998,235,479,936,0
131.88,58.7096,6,130.073827,3.254411,275,466,810,0
132.07,12.8084,21,131.457284,8.599986,209,365,796,0
133.34,7.06,0,131.018148,4.742948,218,471,1005,0
130.5,33.8891,2,129.305926,7.099869,238,460,861,0
131.2,3.7011,5,131.289506,4.022766,225,283,707,0
131.08,8.33,10,130.482469,4.510504,262,300,597,0
130.52,8.9376,5,130.794074,3.448557,260,400,858,0
132.1,3.6275,1,131.751728,3.570536,231,298,741,0
130.41,10.6924,13,130.924568,11.090151,216,416,896,0
131.51,52.5924,6,128.713333,4.436238,257,518,979,0
131.59,17.5659,6,131.43037,4.116663,260,355,728,0
129.3,44.3851,13,124.045432,11.140345,266,311,492,0
130.92,30.1171,13,127.849753,9.515587,251,262,474,0
131.53,4.1275,9,131.522593,6.486115,217,392,834,0
130.91,71.82,11,128.841852,8.822038,238,316,496,0
132.8,64.0376,7,131.698889,12.04324,235,313,622,0
130.56,2.3779,3,130.944198,9.25603,228,439,914,0
128.17,53.1404,10,126.383951,5.142217,291,277,480,0
132.14,8.7531,9,130.858272,5.821824,223,289,594,0
129.68,18.5939,11,127.741852,10.031609,205,287,522,0
132.12,6.4584,3,130.731358,4.787648,270,288,573,0
133,3.45,10,131.398765,4.885248,221,453,941,0
132.22,44.4576,2,127.99679,12.748587,260,281,616,0
130.08,46.9016,5,126.366667,13.569808,284,315,517,0
131.2,6.35,8,130.85679,4.380956,251,282,617,0
131.39,12.4419,10,131.590988,9.553702,228,437,890,0
129.8,18.2536,8,126.320741,15.484018,264,280,522,0
130.41,10.6931,18,131.176543,2.248887,205,378,901,0
131.19,16.1004,4,131.136667,12.807777,255,414,765,0
132.55,18.5675,3,131.590247,4.295436,214,306,778,0
131.41,9.4436,38,132.416543,2.260041,210,358,838,0
132.65,10.5004,2,132.470988,2.538733,212,341,839,0
131.24,8.2736,2,132.105432,3.296968,176,300,738,0
131.2,6.3499,8,130.904321,5.839328,194,335,694,0
132.86,14.1936,4,132.200494,5.352771,198,316,636,0
130.58,10.7331,14,131.585556,4.705588,230,289,680,0
130.76,42.6756,18,131.266049,6.50336,224,372,715,0
133.04,14.9204,5,127.904568,4.029106,256,542,1009,0
131.28,89.9971,4,129.518519,4.576977,229,493,968,0
130.96,77.3891,26,130.007407,12.531951,229,325,581,0
130.48,9.8411,16,130.899506,5.663513,189,428,905,0
131.3,113.19,20,130.709012,7.955379,216,314,587,0
131.58,80.9339,6,131.245185,17.225933,244,428,768,0
131.12,9.94,14,126.51358,10.529305,266,290,500,0
131.1,18.9419,7,129.927284,3.784569,261,296,574,0
131.56,73.3136,15,131.536296,4.776745,208,347,814,0
