@relation ceratocystis1
% ceratocystis_test_90_10_rgb_11_fs9_res1

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {1,2,3}

@data
129.96,35.7744,5,130.602099,6.809621,234,426,852,1
133.52,9.6179,4,131.583333,4.707072,208,312,772,1
132.71,12.0891,10,131.177037,3.163158,215,456,966,1
132.59,10.1451,19,132.26963,3.737313,183,367,920,1
130,22.6476,6,127.377284,12.172221,227,317,570,1
131.76,6.72,10,131.455309,4.990724,234,294,663,1
131.81,69.4611,4,130.098395,6.942554,228,408,737,1
130.56,4.1176,10,130.779877,11.939531,243,440,837,1
132.02,14.6816,18,130.073827,6.507805,194,317,629,1
130.85,22.7075,14,126.941358,4.599474,287,474,804,1
131.23,14.4419,8,130.548272,13.533499,215,358,695,1
133.47,22.8331,1,131.975062,4.679195,209,327,723,1
130.86,5.9451,0,131.394691,16.468727,253,401,731,1
132.07,8.9004,3,130.95679,8.022219,218,325,633,1
131.52,9.62,14,130.908272,4.046313,231,257,625,1
130.84,18.2456,12,127.486914,12.928974,266,315,559,1
129.74,36.6756,11,126.184815,13.739353,296,300,554,1
129.84,15.8904,6,125.108889,15.882596,229,284,505,1
130.92,8.3675,8,130.627531,4.586062,269,318,606,1
132.82,3.4276,12,131.494444,3.399133,216,258,626,1
132.72,13.4331,0,132.113704,3.13156,198,327,796,1
132.83,17.3676,6,130.973333,3.163162,223,454,974,1
128.78,12.6176,4,126.693827,13.681096,260,312,531,1
130.74,44.8411,9,128.678765,17.776601,277,317,550,1
130.76,81.6579,4,127.559506,16.634662,228,352,604,1
131.57,68.1084,10,129.237901,10.555915,237,297,609,1
130.96,24.5339,17,131.651975,8.570421,223,356,723,1
133.7,18.5931,0,131.627037,4.720442,214,301,704,1
128.98,7.7116,11,125.501605,13.353182,221,301,530,1
130.79,41.4116,17,127.745432,15.369011,251,279,518,1
130.12,34.6675,0,128.250864,8.920079,208,326,587,1
130.89,29.3091,8,126.498889,29.046282,287,327,627,1
126.17,40.0491,21,123.250494,20.346544,273,310,488,1
132.36,7.3596,10,131.31642,3.373551,217,359,828,1
131.02,3.7464,12,130.908272,4.922486,201,298,662,1
132.28,4.0259,14,131.995679,2.944318,241,345,742,1
126.36,25.01,16,122.905926,18.414913,287,261,443,1
130.58,15.7091,13,127.918395,7.606836,241,298,536,1
132.25,20.8856,6,131.940247,3.964187,242,306,766,1
130.76,15.4819,11,128.477901,7.004065,241,293,555,1
128.68,17.1604,8,127.314691,4.997915,281,280,455,1
131.17,9.1571,1,130.037901,8.990215,260,463,853,1
130.48,13.9,13,126.144815,7.402132,265,280,508,1
130.52,5.2019,19,130.93284,2.876314,211,391,917,1
130.39,21.2331,4,128.676296,10.905671,251,519,928,1
131.98,64.0675,13,129.673086,5.476502,279,281,548,1
131.67,4.3051,10,132.108148,2.617634,198,334,830,1
130.11,35.4276,17,129.281852,9.407614,260,246,507,1
133.21,46.1891,13,131.084198,6.421302,275,363,625,1
131.86,21.25,2,128.082963,4.375485,266,513,978,1
130.56,7.7376,2,131.866173,3.418961,198,299,669,1
132.78,4.9875,21,132.275556,3.470955,198,320,842,1
131.4,4.67,16,130.995309,4.720971,197,425,971,1
132.1,13.05,10,129.092346,11.518166,241,475,843,1
131.4,6.5299,1,131.147531,4.460804,204,317,732,1
129.76,16.6475,7,127.485679,19.914627,264,240,454,1
131.2,59.3059,2,128.107284,9.959002,257,505,916,1
131.58,7.1384,1,132.214198,2.638088,200,315,740,1
130.49,37.8051,2,127.012963,5.126041,240,528,929,1
131.41,42.0019,14,129.793951,14.826573,261,256,498,1
132.76,83.7899,4,130.111605,4.347886,229,478,972,1
130.24,31.8059,11,128.992222,19.340744,247,315,562,1
132.47,47.5816,13,131.13963,5.979821,251,333,713,1
131.43,7.5499,8,131.492963,4.882646,212,300,663,1
130.83,20.2075,15,131.319383,4.921714,272,406,788,1
130.92,23.6651,14,125.759012,15.180028,302,328,517,1
131.79,17.2891,5,125.740123,20.757808,266,304,513,1
129.96,6.0819,5,130.61679,6.037877,219,448,908,1
128.72,9.2804,10,123.052593,43.204627,273,297,448,1
131.34,50.59,5,127.215679,6.327272,261,291,549,1
131.43,62.6124,2,131.059753,9.081025,199,336,661,1
131.92,22.8091,8,131.211852,4.306625,196,317,739,1
132.01,4.5244,8,131.784568,3.052541,182,343,819,1
133.25,3.71,8,132.01284,3.232143,212,411,860,1
132.89,73.9475,1,130.654815,4.03952,302,444,822,1
132.7,34.5691,10,131.377778,11.493154,228,380,774,1
129.52,5.5004,7,131.332963,6.031691,221,423,905,1
130.32,19.5656,7,125.484938,11.963777,268,268,511,1
131.15,17.49,2,131.055309,8.95089,199,379,763,1
131.6,12.5219,2,129.880617,9.116838,239,470,933,1
131.4,22.2136,5,131.342222,11.810398,238,396,801,1
131.73,13.8811,5,130.66321,9.278884,266,421,804,1
131.51,42.84,9,127.318519,2.690737,297,458,842,1
132.03,26.8844,3,132.245556,2.854936,205,322,810,1
130.81,74.8564,0,129.379136,7.337796,255,472,929,1
133,20.6211,15,131.581235,5.59277,270,359,650,1
133.19,74.4324,2,129.180123,6.369258,243,479,855,1
131.91,5.3459,2,131.920988,2.900296,201,290,697,1
