@relation 'ceratocystis_test_90_10_rgb_11-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.Resample-B1.0-S1-Z20.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {0,1,2}

@data
130,6.2731,9,131.369877,5.418038,215,405,882,0
132.11,65.4875,3,127.949877,4.933971,239,533,1017,0
132.48,78.0651,4,128.708642,4.495501,237,499,981,0
129.32,43.9275,17,129.409136,5.012452,260,270,533,0
130.58,48.4516,2,128.640494,8.215584,246,490,916,0
131.47,14.5016,11,127.37963,9.571458,258,294,550,0
131.55,25.4656,9,127.282469,5.227792,306,473,784,0
132.36,9.3675,5,132.37,3.152283,200,354,821,0
131.15,35.8675,4,129.229506,11.216209,247,307,495,0
130.48,55.8075,8,126.896049,10.2873,264,462,787,0
132.26,30.7524,6,131.044691,4.089389,261,295,610,0
129.99,47.3531,17,128.954198,5.748607,284,264,509,0
131.85,28.5616,6,130.925802,4.5809,258,294,578,0
132.98,33.0179,11,131.942963,6.895651,204,305,675,0
131.58,18.7539,15,130.176543,6.685175,274,332,572,0
134.32,5.7384,6,132.352593,4.200156,202,313,646,0
131.31,10.94,5,128.508889,18.659916,265,303,484,0
133.35,64.7764,2,130.671111,2.87271,224,473,910,0
131.89,39.1836,10,128.966914,9.854349,271,314,599,0
132.69,3.6891,14,130.902346,5.050725,221,302,691,0
130.64,19.0091,2,129.461728,3.400512,221,467,956,0
131.31,58.4436,6,131.407037,14.206877,227,352,687,0
131.95,28.5251,7,128.556296,15.380107,265,306,490,0
132.99,136.4284,5,131.424938,9.252623,231,347,721,0
132.38,35.0731,2,131.143457,3.943771,225,293,638,0
130.08,3.6876,6,130.750494,7.198878,224,428,970,0
130.64,72.7844,6,130.41284,11.940221,241,474,932,0
132.84,6.7976,10,129.207407,9.000709,276,297,543,0
132.71,12.6131,6,131.54,3.647768,229,277,691,0
129.89,37.7875,14,131.489136,4.443674,216,356,851,0
128.99,9.2019,12,125.222593,34.27631,303,318,551,0
126.42,37.95,8,125.501111,28.785946,261,320,527,0
132.51,8.3504,12,131.391481,4.900398,218,293,667,0
132.17,3.6624,14,130.544938,3.975739,195,304,679,0
132.93,3.1104,3,132.240494,2.591801,236,343,760,0
130,10.0179,8,128.90716,7.346225,232,319,615,0
131.54,17.8916,8,128.315802,8.670988,278,300,585,0
129.48,28.0344,3,126.261728,18.669845,268,243,450,0
130.89,16.9256,16,131.102469,13.43795,229,404,833,0
131.31,1.81,16,132.058025,2.793028,220,299,666,0
132.74,39.7604,20,130.206296,8.118829,232,307,641,0
131.29,4.4364,7,131.269383,4.298544,248,302,677,0
131.82,23.0731,7,131.275802,4.944588,200,352,800,0
132.74,23.4596,5,129.984568,3.698602,235,489,919,0
131.09,23.2459,12,125.973333,6.309848,271,287,533,0
132.04,3.3876,11,132.009012,6.696971,214,294,608,0
131.16,7.0691,10,131.340494,9.836757,221,457,904,0
132.48,3.4139,8,131.364321,3.134146,204,303,695,0
132.18,29.7084,0,131.010988,8.345952,216,335,660,0
133.62,27.9116,0,131.653951,4.712956,209,311,718,0
132.68,32.9131,30,130.779753,10.158948,252,293,565,0
126.95,68.7491,12,125.300494,29.418558,252,318,514,0
130.45,16.3104,16,125.025062,14.831195,256,305,487,0
131.71,15.6836,19,131.913333,6.98123,219,334,680,0
132.32,12.81,9,131.35358,8.456352,238,351,689,0
129.86,15.63,7,130.034691,3.378797,214,460,963,0
129.68,13.7899,13,128.82284,5.388283,260,274,505,0
131.98,21.95,11,127.185926,16.84466,264,310,546,0
129.94,9.2099,7,130.795679,2.855748,219,417,948,0
128.93,23.0619,10,125.938272,10.73768,281,262,448,0
130.37,56.41,8,127.764198,5.536222,267,506,981,0
132.08,85.8,3,128.265062,7.20597,243,469,924,0
132.22,35.43,9,132.304198,2.798016,204,369,852,0
131.41,3.62,6,130.565679,9.448606,232,461,919,0
130.98,6.9976,20,131.574691,3.442548,208,387,911,0
131.57,43.2856,13,130.435556,4.378085,241,273,585,0
129.78,7.7451,11,130.961235,4.851751,268,400,756,0
128.56,116.7651,8,123.167284,12.599235,290,302,506,0
131.08,6.3976,5,131.064691,8.621877,234,393,728,0
128.43,67.8564,12,122.675926,20.05177,248,292,481,0
132.16,3.5139,9,130.890988,5.075119,225,294,646,0
131.01,43.8899,3,127.46642,7.006171,250,497,941,0
131.32,17.8616,12,132.14,2.282684,200,350,873,0
129.99,40.9491,14,126.066173,20.914584,269,298,463,0
130.08,16.4824,3,126.499877,12.564693,219,273,498,0
132.35,9.3475,20,130.064568,5.127758,238,261,533,0
133.19,9.3276,20,131.07284,5.787753,230,285,668,0
131.09,38.4816,11,131.566049,5.427778,211,367,807,0
131.58,31.8611,17,131.406296,4.389346,265,384,758,0
131.23,48.1096,23,130.667778,7.619717,229,317,543,0
131.82,39.1384,7,128.980247,9.787907,246,288,655,0
132.34,27.9275,13,131.674074,2.758861,194,347,851,0
131.18,52.0859,1,130.064568,3.17693,269,417,835,0
131.63,9.4219,9,130.42963,6.531715,226,296,663,0
130.25,5.1496,16,130.755556,5.853355,207,442,919,0
131.08,25.5304,13,131.246173,5.262306,271,388,722,0
130.61,25.5675,8,127.373704,16.027531,269,295,561,0
131.13,25.3416,3,129.964321,7.458176,243,463,846,0
131.23,27.6324,6,129.313457,9.161698,255,420,762,0
131.6,1.1744,8,130.277901,5.622236,225,427,862,0
132.07,6.3099,2,131.57642,4.461541,212,323,805,0
128.74,22.4075,11,127.640741,4.263571,281,268,469,0
129.65,106.1099,0,126.096173,23.802722,244,336,576,0
133.12,25.5475,13,130.180864,11.584845,260,310,687,0
132.15,25.5299,0,131.134198,4.771109,270,320,582,0
131.41,16.2,15,131.718025,8.799852,220,411,874,0
130.64,6.7771,5,126.111728,15.105455,261,303,524,0
130.25,21.1979,2,129.583457,4.412954,213,494,996,0
132.36,12.2356,16,132.090988,4.393057,207,424,916,0
130.12,1.2324,7,130.703827,14.695124,240,431,875,0
130.3,7.96,14,131.399012,4.043999,254,380,845,0
127.94,50.81,1,124.405185,24.942993,261,271,440,0
133,1.0939,7,131.716296,4.160643,215,440,929,0
131.82,11.3296,5,132.34963,2.259192,202,331,813,0
133.11,22.6571,20,131.067531,6.558641,244,300,689,0
134.04,90.9584,2,131.388642,13.799736,226,334,623,0
131.5,26.3144,18,130.803333,7.732688,222,323,573,0
131.25,4.0875,9,131.175062,4.016912,209,300,685,0
131.39,37.11,4,130.433827,3.656821,269,429,861,0
132.64,8.2611,28,130.585556,7.322152,214,276,588,0
132.27,183.4675,0,128.740864,8.327923,267,467,808,0
131.98,6.9171,3,132.134815,3.533063,203,273,720,0
132.28,18.84,17,131.402963,4.53747,244,344,779,0
131.2,71.9696,8,131.580988,15.059748,222,332,627,0
130.33,34.4644,12,129.813086,6.338193,262,323,557,0
132.3,45.84,3,131.582469,4.423086,216,316,794,0
132.15,1.6019,5,132.111605,5.287421,191,289,607,0
132.44,3.0051,11,132.048642,4.262612,200,410,966,0
131.72,31.8939,5,128.464815,3.841011,272,437,807,0
131.87,2.6844,7,131.298395,6.936276,258,415,846,0
131.12,49.3531,2,129.780988,3.401868,275,413,850,0
131.77,12.6851,14,132.347407,2.709858,198,351,805,0
132.21,89.3,2,129.403827,8.091192,241,430,758,0
132.19,19.9496,5,131.48,15.938639,238,365,691,0
133.6,25.4539,5,132.330988,4.485681,199,308,623,0
132.32,42.7976,1,131.295432,10.499752,225,367,713,0
130.68,179.8859,1,126.770123,9.676334,269,460,745,0
129.83,43.4451,4,128.792716,6.714257,260,455,906,0
131.71,17.19,10,131.634321,3.723185,246,388,874,0
131.63,6.4744,4,130.31716,9.720864,238,441,868,0
131.31,73.1075,22,128.717901,21.778419,253,287,519,0
131.79,31.0659,14,131.170617,2.764262,222,359,852,0
129.86,89.7875,1,125.158272,20.427073,232,350,542,0
132.65,24.4099,5,129.281852,3.449109,228,526,1023,0
134.32,3.1539,8,132.264321,4.201445,213,285,645,0
130.75,68.9891,8,128.121481,6.229253,256,458,900,0
131.18,5.0859,11,130.780494,6.666779,256,246,581,0
130.19,32.3924,9,125.575802,29.722362,279,315,607,0
130.57,58.2164,13,127.992346,19.12827,270,314,542,0
130.99,4.9771,12,130.97284,5.253996,260,421,851,0
130.09,31.85,3,126.628148,11.188495,254,516,936,0
